ANO;MES;COD_MESO;COD_MICRO;COD_MUNICIPIO;COD_PRODUTO;PRECO;id_meso;codigo_meso;id_micro;codigo_micro;id_micro_meso;id_municipio;codigo_municipio;estado_id;id_produto;codigo_produto
2015;11;3;7;5069;1211260;;75;3;7;7;75;52;5069;18;814;1211260
2015;11;4;12;1209;1211290;;76;4;12;12;76;82;1209;18;824;1211290
2015;11;4;12;3809;1211290;;76;4;12;12;76;86;3809;18;824;1211290
2015;11;4;12;1209;1212010;;76;4;12;12;76;82;1209;18;579;1212010
2015;11;4;12;3809;1212010;;76;4;12;12;76;86;3809;18;579;1212010
2015;11;3;7;5069;1212010;;75;3;7;7;75;52;5069;18;579;1212010
2015;11;4;12;1209;1212040;;76;4;12;12;76;82;1209;18;728;1212040
2015;11;4;12;3809;1212040;;76;4;12;12;76;86;3809;18;728;1212040
2015;11;4;12;3809;1212070;;76;4;12;12;76;86;3809;18;796;1212070
2015;11;4;12;1209;1212080;;76;4;12;12;76;82;1209;18;804;1212080
2015;11;4;12;3809;1212080;;76;4;12;12;76;86;3809;18;804;1212080
2015;11;3;8;4955;1212080;;75;3;8;8;75;58;4955;18;804;1212080
2015;11;3;7;5069;1212080;;75;3;7;7;75;52;5069;18;804;1212080
2015;11;3;7;102;1212090;;75;3;7;7;75;46;102;18;810;1212090
2015;11;3;7;102;1212090;;75;3;7;7;75;46;102;18;810;1212090
2015;11;1;3;805;1212090;;73;1;3;3;73;25;805;18;810;1212090
2015;11;4;12;1209;1212090;;76;4;12;12;76;82;1209;18;810;1212090
2015;11;3;7;3163;1212090;;75;3;7;7;75;50;3163;18;810;1212090
2015;11;4;12;3809;1212090;;76;4;12;12;76;86;3809;18;810;1212090
2015;11;3;7;102;1212100;;75;3;7;7;75;46;102;18;826;1212100
2015;11;1;3;805;1212100;;73;1;3;3;73;25;805;18;826;1212100
2015;11;4;12;1209;1212100;;76;4;12;12;76;82;1209;18;826;1212100
2015;11;4;12;1407;1212100;;76;4;12;12;76;83;1407;18;826;1212100
2015;11;3;7;1704;1212100;;75;3;7;7;75;48;1704;18;826;1212100
2015;11;1;1;2108;1212100;;73;1;1;1;73;16;2108;18;826;1212100
