ANO;MES;COD_MESO;COD_MICRO;COD_MUNICIPIO;COD_PRODUTO;PRECO
2015;12;1;3;4005;1199010;700.00
2015;12;1;3;4005;1213110;950.00
2015;12;1;3;4005;1216040;550.00
2015;12;1;3;4005;1332080;960.00
2015;12;1;3;4005;1332340;800.00
2015;12;1;3;4005;1333030;490.00
2015;12;1;3;4005;1340021;5430.00
2015;12;1;3;4005;1340022;5330.00
2015;12;1;3;4005;1340022;5330.00
2015;12;1;3;4005;1350010;7000.00
2015;12;1;3;4005;1350010;7000.00
2015;12;1;3;4005;1391060;0
2015;12;1;3;4005;1392010;2100.00
2015;12;1;3;4005;91194040;500.00
2015;12;1;3;4658;1110020;1000.00
2015;12;1;3;4658;1110070;550.00
2015;12;1;3;4658;1130010;50.00
2015;12;1;3;4658;1191030;2500.00
2015;12;1;3;4658;1191030;2500.00
2015;12;1;3;4658;1192050;50.00
2015;12;1;3;4658;1193010;1100.00
2015;12;1;3;4658;1193020;600.00
2015;12;1;3;4658;1194040;300.00
2015;12;1;3;4658;1199010;700.00
2015;12;1;3;4658;1310010;900.00
2015;12;1;3;4658;1332080;960.00
2015;12;1;3;4658;1332340;800.00
2015;12;1;3;4658;1332360;1500.00
2015;12;1;3;4658;1333030;490.00
2015;12;1;3;4658;1340022;5330.00
2015;12;1;3;4658;1350010;7000.00
2015;12;1;3;4658;1391060;26000.00
2015;12;1;3;4658;1392010;2100.00
2015;12;1;3;4658;91194040;500.00
2015;12;2;4;3502;1110070;600.00
2015;12;2;4;3502;1110070;0
2015;12;2;4;3502;1130010;33.00
2015;12;2;4;3502;1191030;2000.00
2015;12;2;4;3502;1193010;1100.00
2015;12;2;4;3502;1194040;45.00
2015;12;2;4;3502;1199010;650.00
2015;12;2;4;3502;1212100;1500.00
2015;12;2;4;3502;1320010;4000.00
2015;12;2;4;3502;1332080;750.00
2015;12;2;4;3502;1332220;1800.00
2015;12;2;4;3502;1332330;700.00
2015;12;2;4;3502;1332360;2000.00
2015;12;2;4;3502;1333030;700.00
2015;12;2;4;3502;1340022;5100.00
2015;12;2;4;3502;1340022;5100.00
2015;12;2;4;3502;1391060;22000.00
2015;12;2;4;3502;1392010;2500.00
2015;12;2;4;3502;1392010;2500.00
2015;12;2;4;3502;91194040;1200.00
2015;12;2;4;3601;1110070;0
2015;12;2;4;3601;1110070;0
2015;12;2;4;3601;1130010;33.00
2015;12;2;4;3601;1191030;0.01
2015;12;2;4;3601;1192130;50.00
2015;12;2;4;3601;1194040;50.00
2015;12;2;4;3601;1199010;650.00
2015;12;2;4;3601;1216040;1500.00
2015;12;2;4;3601;1332080;800.00
2015;12;2;4;3601;1332220;1800.00
2015;12;2;4;3601;1332330;700.00
2015;12;2;4;3601;1332360;2100.00
2015;12;2;4;3601;1340022;5000.00
2015;12;2;4;3601;1391060;0
2015;12;2;4;3601;91194040;1300.00
2015;12;2;4;4104;1110070;580.00
2015;12;2;4;4104;1110070;580.00
2015;12;2;4;4104;1130010;33.00
2015;12;2;4;4104;1191030;1700.00
2015;12;2;4;4104;1191030;2000.00
2015;12;2;4;4104;1193010;1000.00
2015;12;2;4;4104;1193020;600.00
2015;12;2;4;4104;1194040;50.00
2015;12;2;4;4104;1199010;650.00
2015;12;2;4;4104;1211050;1500.00
2015;12;2;4;4104;1212090;1800.00
2015;12;2;4;4104;1216040;1500.00
2015;12;2;4;4104;1332080;800.00
2015;12;2;4;4104;1332220;1800.00
2015;12;2;4;4104;1332330;700.00
2015;12;2;4;4104;1332360;2000.00
2015;12;2;4;4104;1333030;650.00
2015;12;2;4;4104;1340022;5200.00
2015;12;2;4;4104;1340022;5200.00
2015;12;2;4;4104;1350010;9000.00
2015;12;2;4;4104;1391060;22500.00
2015;12;2;4;4104;1392010;2500.00
2015;12;2;4;4104;1392010;2500.00
2015;12;2;4;4104;91194040;1200.00
2015;12;2;4;4252;1110070;580.00
2015;12;2;4;4252;1191030;2000.00
2015;12;2;4;4252;1193010;1000.00
2015;12;2;4;4252;1194040;50.00
2015;12;2;4;4252;1199010;620.00
2015;12;2;4;4252;1211050;1600.00
2015;12;2;4;4252;1212090;1900.00
2015;12;2;4;4252;1213050;1500.00
2015;12;2;4;4252;1332080;800.00
2015;12;2;4;4252;1332080;800.00
2015;12;2;4;4252;1332220;1800.00
2015;12;2;4;4252;1333030;650.00
2015;12;2;4;4252;1333030;650.00
2015;12;2;4;4252;1340022;5000.00
2015;12;2;4;4252;1340022;5000.00
2015;12;2;4;4252;1391060;22000.00
2015;12;2;4;4252;91194040;1200.00
2015;12;2;5;1605;1110070;550.00
2015;12;2;5;1605;1110070;0
2015;12;2;5;1605;1130010;33.00
2015;12;2;5;1605;1191030;0
2015;12;2;5;1605;1193010;1100.00
2015;12;2;5;1605;1193010;1100.00
2015;12;2;5;1605;1193020;600.00
2015;12;2;5;1605;1193020;600.00
2015;12;2;5;1605;1194040;50.00
2015;12;2;5;1605;1199010;690.00
2015;12;2;5;1605;1199010;690.00
2015;12;2;5;1605;1212040;1800.00
2015;12;2;5;1605;1212090;1500.00
2015;12;2;5;1605;1331040;2800.00
2015;12;2;5;1605;1332080;680.00
2015;12;2;5;1605;1332080;680.00
2015;12;2;5;1605;1332330;700.00
2015;12;2;5;1605;1332360;2000.00
2015;12;2;5;1605;1333030;650.00
2015;12;2;5;1605;1333030;650.00
2015;12;2;5;1605;1340022;5500.00
2015;12;2;5;1605;1340022;5500.00
2015;12;2;5;1605;1350010;9000.00
2015;12;2;5;1605;1391060;22000.00
2015;12;2;5;1605;1392010;2500.00
2015;12;2;5;1605;1392010;2500.00
2015;12;2;5;1605;91194040;1200.00
2015;12;2;5;3056;1110070;600.00
2015;12;2;5;3056;1110070;0
2015;12;2;5;3056;1191030;2100.00
2015;12;2;5;3056;1191030;2166.00
2015;12;2;5;3056;1193010;1500.00
2015;12;2;5;3056;1193010;0
2015;12;2;5;3056;1193020;600.00
2015;12;2;5;3056;1194040;50.00
2015;12;2;5;3056;1199010;650.00
2015;12;2;5;3056;1310010;800.00
2015;12;2;5;3056;1310010;650.00
2015;12;2;5;3056;1332080;550.00
2015;12;2;5;3056;1332330;700.00
2015;12;2;5;3056;1332360;0
2015;12;2;5;3056;1332360;1500.00
2015;12;2;5;3056;1333030;700.00
2015;12;2;5;3056;1340022;5200.00
2015;12;2;5;3056;1340022;5200.00
2015;12;2;5;3056;1350010;9000.00
2015;12;2;5;3056;1391060;22000.00
2015;12;2;5;3056;1392010;2500.00
2015;12;2;5;3056;1392010;2500.00
2015;12;2;5;3056;1399060;2300.00
2015;12;2;5;3056;91194040;1200.00
2015;12;2;5;4054;1110070;550.00
2015;12;2;5;4054;1110070;550.00
2015;12;2;5;4054;1110070;0
2015;12;2;5;4054;1110070;0
2015;12;2;5;4054;1130010;35.00
2015;12;2;5;4054;1191030;2000.00
2015;12;2;5;4054;1191030;2000.00
2015;12;2;5;4054;1193010;1000.00
2015;12;2;5;4054;1193010;1000.00
2015;12;2;5;4054;1193020;610.00
2015;12;2;5;4054;1194040;50.00
2015;12;2;5;4054;1199010;600.00
2015;12;2;5;4054;1332080;500.00
2015;12;2;5;4054;1332220;1800.00
2015;12;2;5;4054;1332330;700.00
2015;12;2;5;4054;1332360;2000.00
2015;12;2;5;4054;1333030;650.00
2015;12;2;5;4054;1333030;650.00
2015;12;2;5;4054;1340022;5000.00
2015;12;2;5;4054;1340022;5000.00
2015;12;2;5;4054;1391060;22000.00
2015;12;2;5;4054;1392010;2500.00
2015;12;2;5;4054;1392010;2500.00
2015;12;2;5;4054;91194040;1000.00
2015;12;2;5;4906;1110070;550.00
2015;12;2;5;4906;1110070;550.00
2015;12;2;5;4906;1110070;0
2015;12;2;5;4906;1110070;0
2015;12;2;5;4906;1130010;33.00
2015;12;2;5;4906;1191030;2000.00
2015;12;2;5;4906;1191030;0
2015;12;2;5;4906;1191040;2000.00
2015;12;2;5;4906;1191040;0
2015;12;2;5;4906;1193010;1000.00
2015;12;2;5;4906;1193010;1000.00
2015;12;2;5;4906;1194040;50.00
2015;12;2;5;4906;1199010;0
2015;12;2;5;4906;1211050;1500.00
2015;12;2;5;4906;1211120;2100.00
2015;12;2;5;4906;1211160;2800.00
2015;12;2;5;4906;1215120;8500.00
2015;12;2;5;4906;1215130;8500.00
2015;12;2;5;4906;1215300;8600.00
2015;12;2;5;4906;1216040;1500.00
2015;12;2;5;4906;1320020;0
2015;12;2;5;4906;1331040;0
2015;12;2;5;4906;1331040;2700.00
2015;12;2;5;4906;1332080;550.00
2015;12;2;5;4906;1332080;550.00
2015;12;2;5;4906;1332330;650.00
2015;12;2;5;4906;1332340;600.00
2015;12;2;5;4906;1332360;2200.00
2015;12;2;5;4906;1333030;700.00
2015;12;2;5;4906;1333050;5000.00
2015;12;2;5;4906;1333050;5000.00
2015;12;2;5;4906;1340022;5000.00
2015;12;2;5;4906;1350010;9000.00
2015;12;2;5;4906;1391060;22000.00
2015;12;2;5;4906;1392010;2500.00
2015;12;2;5;4906;91194040;1200.00
2015;12;2;6;607;1110070;600.00
2015;12;2;6;607;1130010;40.00
2015;12;2;6;607;1191040;2500.00
2015;12;2;6;607;1191040;2500.00
2015;12;2;6;607;1191040;2166.60
2015;12;2;6;607;1192050;40.00
2015;12;2;6;607;1194040;80.00
2015;12;2;6;607;1212070;300.00
2015;12;2;6;607;1212100;1700.00
2015;12;2;6;607;1310010;1000.00
2015;12;2;6;607;1332080;970.00
2015;12;2;6;607;1332080;970.00
2015;12;2;6;607;1332330;890.00
2015;12;2;6;607;1332340;800.00
2015;12;2;6;607;1332360;1700.00
2015;12;2;6;607;1333030;550.00
2015;12;2;6;607;1333030;550.00
2015;12;2;6;607;1340022;5100.00
2015;12;2;6;607;1340022;5100.00
2015;12;2;6;607;1350010;7000.00
2015;12;2;6;607;1391060;28000.00
2015;12;2;6;607;1392010;2100.00
2015;12;2;6;607;91194040;90.00
2015;12;2;6;2207;1110070;700.00
2015;12;2;6;2207;1110070;700.00
2015;12;2;6;2207;1110070;700.00
2015;12;2;6;2207;1130010;460.00
2015;12;2;6;2207;1191040;2500.00
2015;12;2;6;2207;1191040;2500.00
2015;12;2;6;2207;1191040;2500.00
2015;12;2;6;2207;1191040;2500.00
2015;12;2;6;2207;1192050;33.68
2015;12;2;6;2207;1193020;1100.00
2015;12;2;6;2207;1194040;58.00
2015;12;2;6;2207;1199010;960.00
2015;12;2;6;2207;1310010;1100.00
2015;12;2;6;2207;1331040;3000.00
2015;12;2;6;2207;1331070;700.00
2015;12;2;6;2207;1332080;880.00
2015;12;2;6;2207;1332080;880.00
2015;12;2;6;2207;1333030;800.00
2015;12;2;6;2207;1333030;800.00
2015;12;2;6;2207;1340021;7250.00
2015;12;2;6;2207;1340022;5929.00
2015;12;2;6;2207;1340022;5929.00
2015;12;2;6;2207;1350010;9230.00
2015;12;2;6;2207;1391060;30000.00
2015;12;2;6;2207;1392010;2450.00
2015;12;2;6;2207;1399060;1200.00
2015;12;2;6;2207;91194040;800.00
2015;12;2;6;2504;1110070;600.00
2015;12;2;6;2504;1110070;600.00
2015;12;2;6;2504;1130010;40.00
2015;12;2;6;2504;1191040;2550.00
2015;12;2;6;2504;1191040;2200.00
2015;12;2;6;2504;1192050;40.00
2015;12;2;6;2504;1194040;100.00
2015;12;2;6;2504;1310010;710.00
2015;12;2;6;2504;1320020;0
2015;12;2;6;2504;1331070;420.00
2015;12;2;6;2504;1332080;900.00
2015;12;2;6;2504;1332080;900.00
2015;12;2;6;2504;1333030;600.00
2015;12;2;6;2504;1333030;600.00
2015;12;2;6;2504;1340021;5500.00
2015;12;2;6;2504;1340022;5500.00
